time,value
3/16/18 0:04,70
3/16/18 0:09,90
3/16/18 0:14,85
3/16/18 0:19,84
3/16/18 0:24,83
3/16/18 0:29,83
3/16/18 0:34,83
3/16/18 0:39,70
3/16/18 0:44,87
3/16/18 0:49,91
3/16/18 0:54,99
3/16/18 0:59,96
3/16/18 1:04,88
3/16/18 1:09,85
3/16/18 1:14,84
3/16/18 1:19,84
3/16/18 1:24,79
3/16/18 1:29,79
3/16/18 1:34,80
3/16/18 1:39,80
3/16/18 1:44,82
3/16/18 1:49,78
3/16/18 1:54,73
3/16/18 1:59,75
3/16/18 2:04,78
3/16/18 2:09,78
3/16/18 2:14,77
3/16/18 2:19,77
3/16/18 2:24,80
3/16/18 2:29,92
3/16/18 2:34,89
3/16/18 2:39,91
3/16/18 2:44,92
3/16/18 2:49,93
3/16/18 2:54,94
3/16/18 2:59,96
3/16/18 3:04,99
3/16/18 3:09,113
3/16/18 3:14,111
3/16/18 3:19,109
3/16/18 3:24,106
3/16/18 3:29,106
3/16/18 3:34,106
3/16/18 3:39,107
3/16/18 3:44,110
3/16/18 3:49,109
3/16/18 3:54,109
3/16/18 3:59,107
3/16/18 4:04,105
3/16/18 4:09,106
3/16/18 4:14,106
3/16/18 4:19,77
3/16/18 4:24,77
3/16/18 4:29,78
3/16/18 4:34,79
3/16/18 4:39,78
3/16/18 4:44,79
3/16/18 4:49,80
3/16/18 4:54,79
3/16/18 4:59,79
3/16/18 5:04,78
3/16/18 5:09,78
3/16/18 5:14,83
3/16/18 5:19,85
3/16/18 5:24,91
3/16/18 5:29,91
3/16/18 5:34,96
3/16/18 5:39,98
3/16/18 5:44,99
3/16/18 5:49,101
3/16/18 5:54,103
3/16/18 5:59,107
3/16/18 6:04,109
3/16/18 6:09,109
3/16/18 6:14,109
3/16/18 6:19,109
3/16/18 6:24,109
3/16/18 6:29,108
3/16/18 6:34,107
3/16/18 6:39,105
3/16/18 6:44,106
3/16/18 6:49,107
3/16/18 6:54,108
3/16/18 6:59,110
3/16/18 7:04,110
3/16/18 7:09,111
3/16/18 7:14,114
3/16/18 7:19,115
3/16/18 7:24,115
3/16/18 7:29,116
3/16/18 7:34,116
3/16/18 7:39,114
3/16/18 7:44,114
3/16/18 7:49,112
3/16/18 7:54,112
3/16/18 7:59,112
3/16/18 8:04,112
3/16/18 8:09,113
3/16/18 8:14,112
3/16/18 8:19,113
3/16/18 8:24,111
3/16/18 8:29,111
3/16/18 8:34,111
3/16/18 8:39,110
3/16/18 8:44,111
3/16/18 8:49,110
3/16/18 8:54,110
3/16/18 8:59,110
3/16/18 9:04,110
3/16/18 9:09,110
3/16/18 9:14,109
3/16/18 9:19,106
3/16/18 9:24,106
3/16/18 9:29,105
