time,value
3/16/18 0:04,0
3/16/18 3:39,60
3/16/18 7:14,0
3/16/18 10:49,0
3/16/18 14:24,0
3/16/18 17:59,24
3/16/18 21:34,60
3/17/18 1:04,36
3/17/18 4:39,33
3/17/18 8:14,0
3/17/18 11:49,0
3/17/18 15:24,65
3/17/18 18:59,10
3/17/18 22:34,60
3/18/18 2:09,30
3/18/18 5:44,0
3/18/18 9:19,60
3/18/18 12:54,0
3/18/18 16:29,60
3/18/18 20:04,0
3/18/18 23:39,60
3/19/18 3:14,26
3/19/18 6:49,50
3/19/18 10:24,24
3/19/18 13:59,60
3/19/18 17:34,47
3/19/18 21:04,60
3/20/18 0:34,30
3/20/18 4:08,0
3/20/18 7:43,50
3/20/18 11:18,15
3/20/18 14:48,0
3/21/18 2:38,65
3/21/18 6:13,33
3/21/18 9:43,75
3/21/18 13:18,35
3/21/18 16:53,70
3/21/18 20:23,0
3/22/18 0:23,60
3/22/18 3:58,70
3/22/18 7:28,48
3/22/18 11:03,48
3/22/18 14:38,70
3/22/18 18:08,60
3/22/18 21:43,25
3/23/18 1:13,20
3/23/18 4:48,0
3/23/18 8:23,0
3/23/18 11:58,20
3/23/18 15:33,60
3/23/18 19:08,45
3/24/18 2:00,30
3/24/18 5:35,70
3/24/18 9:10,32
3/24/18 12:45,0
3/24/18 16:20,0
3/24/18 19:50,60
3/24/18 23:25,30
3/25/18 3:00,70
3/25/18 6:35,0
3/25/18 10:05,70
3/25/18 13:40,15
3/25/18 17:15,10
3/25/18 20:50,20
3/26/18 0:25,60
3/26/18 4:00,44
3/26/18 7:35,0
3/26/18 11:05,65
3/26/18 14:40,0
3/26/18 18:15,33
3/26/18 22:30,65
3/27/18 2:00,47
3/27/18 5:35,44
3/27/18 9:10,25
3/27/18 12:45,0
3/27/18 16:19,65
3/27/18 19:54,0
3/27/18 23:29,60
3/28/18 3:04,0
3/28/18 6:39,60
3/28/18 10:14,24
3/28/18 13:49,30
3/28/18 17:24,60
3/28/18 20:59,0
3/29/18 0:59,0
3/29/18 4:34,0
3/29/18 8:09,65
3/29/18 11:44,60
3/29/18 15:19,20
3/29/18 18:49,0
3/29/18 22:24,60
3/30/18 1:59,50
3/30/18 5:34,70
3/30/18 9:09,24
3/30/18 12:44,0
3/30/18 16:19,0
3/30/18 19:54,60
3/31/18 19:29,60
3/31/18 23:04,30
4/1/18 2:39,0
4/1/18 6:09,60
4/1/18 9:44,0
4/1/18 13:19,32
4/1/18 16:54,40
4/1/18 20:29,20
4/2/18 0:04,60
4/2/18 3:39,0
4/2/18 7:14,60
4/2/18 10:49,60
4/2/18 14:24,39
4/2/18 17:59,10
4/2/18 21:34,50
4/3/18 1:09,20
4/3/18 4:44,0
4/3/18 8:19,64
4/3/18 11:54,0
4/3/18 15:29,60
4/3/18 19:04,14
4/3/18 22:39,60
4/4/18 2:14,30
4/4/18 5:49,73
4/4/18 9:24,60
4/4/18 12:59,60
4/4/18 16:34,0
4/4/18 20:09,60
4/4/18 23:44,60
4/5/18 3:19,30
4/5/18 6:54,60
4/5/18 10:29,30
4/5/18 14:04,0
4/5/18 17:39,64
4/5/18 21:14,60
4/6/18 0:49,20
4/6/18 4:24,20
4/6/18 7:59,60
4/6/18 11:34,0
4/6/18 15:09,0
4/6/18 18:44,60
4/6/18 22:14,60
4/7/18 1:44,60
4/7/18 5:19,20
4/7/18 8:54,0
4/7/18 12:24,60
4/7/18 21:09,60
4/8/18 0:39,60
4/8/18 4:14,66
4/8/18 7:49,0
4/8/18 11:19,16
4/8/18 14:54,30
4/8/18 18:29,40
4/8/18 22:04,60
4/9/18 1:34,20
4/9/18 5:09,60
4/9/18 8:44,0
4/9/18 12:19,16
4/9/18 15:54,30
4/9/18 19:29,60
4/9/18 23:04,35
4/10/18 2:34,0
4/10/18 6:09,60
4/10/18 9:44,60
4/10/18 13:19,30
4/10/18 16:54,65
4/10/18 20:29,0
4/11/18 0:04,15
4/11/18 3:39,0
4/11/18 7:14,60
4/11/18 10:44,47
4/11/18 14:19,60
4/11/18 17:54,0
4/11/18 21:29,0
4/12/18 0:54,50
4/12/18 4:29,65
4/12/18 8:04,0
4/12/18 11:39,25
4/12/18 15:09,70
4/12/18 18:44,0
4/12/18 22:19,0
4/13/18 1:49,70
4/13/18 5:24,70
4/13/18 8:54,70
4/13/18 12:29,0
4/13/18 16:04,60
4/13/18 19:39,14
4/13/18 23:09,60
4/14/18 2:44,25
4/14/18 6:19,0
4/14/18 9:54,60
4/14/18 16:14,0
4/14/18 19:44,0
4/14/18 23:14,60
4/15/18 2:49,60
4/15/18 6:24,32
4/15/18 9:59,50
4/15/18 13:34,25
4/15/18 17:09,45
4/15/18 20:44,0
4/16/18 0:19,60
4/16/18 3:54,0
4/16/18 7:24,0
4/16/18 10:59,50
4/16/18 14:34,60
4/16/18 18:09,0
4/16/18 21:39,60
4/17/18 1:14,60
4/17/18 4:49,25
4/17/18 8:19,0
4/17/18 11:54,60
4/17/18 15:29,45
4/17/18 19:04,60
4/17/18 22:34,14
4/18/18 2:09,60
4/18/18 5:44,0
4/18/18 9:18,70
4/18/18 12:54,25
4/18/18 16:28,0
4/18/18 20:03,60
4/18/18 23:38,75
4/19/18 3:13,60
4/19/18 6:48,20
4/19/18 10:18,0
4/19/18 13:53,55
4/19/18 17:28,60
4/19/18 21:03,0
4/20/18 0:33,75
4/20/18 4:08,0
4/20/18 7:43,0
4/20/18 11:18,60
4/20/18 14:53,60
4/20/18 18:28,60
4/20/18 22:03,0
4/21/18 1:38,0
4/21/18 5:08,60
4/21/18 14:38,0
4/21/18 18:13,60
4/21/18 21:48,0
4/22/18 1:23,75
4/22/18 4:58,60
4/22/18 8:33,0
4/22/18 12:08,50
4/22/18 15:43,70
4/22/18 19:18,50
4/22/18 22:53,65
4/23/18 2:18,60
4/23/18 5:53,24
4/23/18 9:28,45
4/23/18 12:58,0
4/23/18 16:33,74
4/23/18 20:08,60
4/23/18 23:43,24
4/24/18 3:18,25
4/24/18 6:53,60
4/24/18 10:28,0
4/24/18 14:03,14
4/24/18 17:38,24
4/24/18 21:13,60
4/25/18 0:48,60
4/25/18 4:23,45
4/25/18 7:58,30
4/25/18 11:28,0
4/25/18 15:03,60
4/25/18 18:38,60
4/25/18 22:13,30
4/26/18 1:48,60
4/26/18 5:23,0
4/26/18 8:58,0
4/26/18 12:28,0
4/26/18 16:03,60
4/26/18 19:38,65
4/26/18 23:13,75
4/27/18 2:43,0
4/27/18 6:18,0
4/27/18 9:53,0
4/27/18 13:28,0
4/27/18 17:03,60
4/27/18 20:38,60
4/28/18 0:13,34
4/28/18 3:48,0
4/28/18 7:23,75
4/28/18 14:18,0
4/28/18 17:48,0
4/28/18 21:23,0
4/29/18 0:58,65
4/29/18 4:33,70
4/29/18 8:08,0
4/29/18 11:43,60
4/29/18 15:18,0
4/29/18 18:48,60
4/29/18 22:23,25
4/30/18 1:53,60
4/30/18 6:03,60
4/30/18 9:38,65
4/30/18 13:08,25
4/30/18 16:43,0
4/30/18 20:18,24
4/30/18 23:53,59
5/1/18 3:28,59
5/1/18 7:03,44
5/1/18 10:38,33
5/1/18 14:08,40
5/1/18 17:43,23
5/1/18 21:18,70
5/2/18 0:48,45
5/2/18 4:23,30
5/2/18 7:58,0
5/2/18 11:33,0
5/2/18 15:08,0
5/2/18 18:43,65
5/2/18 22:18,0
5/3/18 1:48,65
5/3/18 5:23,74
5/3/18 8:58,0
5/3/18 12:33,0
5/3/18 16:08,60
5/3/18 19:43,60
5/3/18 23:18,60
5/4/18 2:48,0
5/4/18 6:23,15
5/4/18 12:23,60
5/4/18 20:28,60
5/4/18 23:58,70
5/5/18 3:33,28
5/5/18 7:08,24
5/5/18 10:43,59
5/5/18 14:18,0
5/5/18 17:48,0
5/5/18 21:23,25
5/6/18 0:58,60
5/6/18 4:33,0
5/6/18 8:03,60
5/6/18 11:38,0
5/6/18 15:13,0
5/6/18 18:48,10
5/6/18 22:18,60
5/7/18 1:53,70
5/7/18 5:28,70
5/7/18 9:03,0
5/7/18 12:38,65
5/7/18 16:13,60
5/7/18 19:48,0
5/7/18 23:18,70
5/8/18 2:53,40
5/8/18 6:28,60
5/8/18 10:03,60
5/8/18 13:38,45
5/8/18 17:13,60
5/8/18 20:48,50
5/9/18 0:18,18
5/9/18 3:53,0
5/9/18 7:28,24
5/9/18 11:03,59
5/9/18 14:38,60
